pos,player,team,side,season
TE,Jason Witten,DAL,offense,2007
RB,Leon Washington,NYJ,offense,2007
QB,Peyton Manning,IND,offense,2008
QB,Drew Brees,NO,offense,2008
RB,Michael Turner,ATL,offense,2008
RB,Adrian Peterson,MIN,offense,2008
RB,Chris Johnson,TEN,offense,2008
RB,Thomas Jones,NYJ,offense,2008
RB,Deangelo Williams,CAR,offense,2008
RB,Clinton Portis,WAS,offense,2008
WR,Andre Johnson,HOU,offense,2008
WR,Larry Fitzgerald,ARI,offense,2008
WR,Roddy White,ATL,offense,2008
WR,Steve Smith Sr.,CAR,offense,2008
TE,Jason Witten,DAL,offense,2008
RB,Reggie Bush,NO,offense,2008
QB,Peyton Manning,IND,offense,2009
QB,Drew Brees,NO,offense,2009
RB,Chris Johnson,TEN,offense,2009
RB,Adrian Peterson,MIN,offense,2009
RB,Steven Jackson,LAR,offense,2009
RB,Maurice Jones-Drew,JAX,offense,2009
RB,Ray Rice,BAL,offense,2009
WR,Andre Johnson,HOU,offense,2009
WR,Larry Fitzgerald,ARI,offense,2009
WR,Reggie Wayne,IND,offense,2009
WR,Sidney Rice,MIN,offense,2009
TE,Dallas Clark,IND,offense,2009
TE,Jason Witten,DAL,offense,2009
WR,Patrick Crayton,DAL,offense,2009
WR,Brandon Marshall,DEN,offense,2009
QB,Matt Ryan,ATL,offense,2010
QB,Michael Vick,PHI,offense,2010
RB,Arian Foster,HOU,offense,2010
RB,Maurice Jones-Drew,JAX,offense,2010
RB,Adrian Peterson,MIN,offense,2010
RB,Michael Turner,ATL,offense,2010
WR,Roddy White,ATL,offense,2010
WR,Andre Johnson,HOU,offense,2010
WR,Reggie Wayne,IND,offense,2010
WR,Brandon Lloyd,DEN,offense,2010
WR,Calvin Johnson,DET,offense,2010
TE,Jason Witten,DAL,offense,2010
TE,Marcedes Lewis,JAX,offense,2010
QB,Drew Brees,NO,offense,2011
RB,Maurice Jones-Drew,JAX,offense,2011
RB,Lesean Mccoy,PHI,offense,2011
RB,Ray Rice,BAL,offense,2011
RB,Marshawn Lynch,SEA,offense,2011
RB,Arian Foster,HOU,offense,2011
WR,Calvin Johnson,DET,offense,2011
WR,Larry Fitzgerald,ARI,offense,2011
WR,Victor Cruz,NYG,offense,2011
WR,Mike Wallace,PIT,offense,2011
WR,Steve Smith Sr.,CAR,offense,2011
TE,Jimmy Graham,NO,offense,2011
QB,Peyton Manning,DEN,offense,2012
RB,Adrian Peterson,MIN,offense,2012
RB,Marshawn Lynch,SEA,offense,2012
RB,Arian Foster,HOU,offense,2012
RB,C.J. Spiller,BUF,offense,2012
RB,Alfred Morris,WAS,offense,2012
WR,Calvin Johnson,DET,offense,2012
WR,Brandon Marshall,CHI,offense,2012
WR,Andre Johnson,HOU,offense,2012
WR,Reggie Wayne,IND,offense,2012
WR,A.J. Green,CIN,offense,2012
TE,Jason Witten,DAL,offense,2012
TE,Tony Gonzalez,ATL,offense,2012
QB,Peyton Manning,DEN,offense,2013
QB,Drew Brees,NO,offense,2013
RB,Lesean Mccoy,PHI,offense,2013
RB,Matt Forte,CHI,offense,2013
RB,Adrian Peterson,MIN,offense,2013
WR,Calvin Johnson,DET,offense,2013
WR,Josh Gordon,CLE,offense,2013
WR,Antonio Brown,PIT,offense,2013
WR,Brandon Marshall,CHI,offense,2013
WR,Demaryius Thomas,DEN,offense,2013
WR,Andre Johnson,HOU,offense,2013
WR,A.J. Green,CIN,offense,2013
TE,Jimmy Graham,NO,offense,2013
TE,Jordan Cameron,CLE,offense,2013
QB,Tony Romo,DAL,offense,2014
QB,Ben Roethlisberger,PIT,offense,2014
RB,Le'Veon Bell,PIT,offense,2014
RB,Demarco Murray,DAL,offense,2014
RB,Marshawn Lynch,SEA,offense,2014
RB,Justin Forsett,BAL,offense,2014
WR,Antonio Brown,PIT,offense,2014
WR,Dez Bryant,DAL,offense,2014
WR,Odell Beckham Jr.,NYG,offense,2014
WR,Emmanuel Sanders,DEN,offense,2014
WR,Julio Jones,ATL,offense,2014
WR,Demaryius Thomas,DEN,offense,2014
TE,Greg Olsen,CAR,offense,2014
QB,Cam Newton,CAR,offense,2015
QB,Carson Palmer,ARI,offense,2015
RB,Adrian Peterson,MIN,offense,2015
RB,Latavius Murray,LV,offense,2015
RB,Chris Ivory,NYJ,offense,2015
RB,Devonta Freeman,ATL,offense,2015
RB,Todd Gurley,LAR,offense,2015
RB,Jonathan Stewart,CAR,offense,2015
WR,Antonio Brown,PIT,offense,2015
WR,Julio Jones,ATL,offense,2015
WR,Larry Fitzgerald,ARI,offense,2015
WR,Deandre Hopkins,HOU,offense,2015
WR,Odell Beckham Jr.,NYG,offense,2015
WR,Brandon Marshall,NYJ,offense,2015
WR,Doug Baldwin,SEA,offense,2015
WR,A.J. Green,CIN,offense,2015
TE,Greg Olsen,CAR,offense,2015
TE,Delanie Walker,TEN,offense,2015
QB,Matt Ryan,ATL,offense,2016
RB,Ezekiel Elliott,DAL,offense,2016
RB,David Johnson,ARI,offense,2016
RB,Le'Veon Bell,PIT,offense,2016
RB,Demarco Murray,TEN,offense,2016
RB,Jay Ajayi,MIA,offense,2016
WR,Julio Jones,ATL,offense,2016
WR,Antonio Brown,PIT,offense,2016
WR,Odell Beckham Jr.,NYG,offense,2016
WR,T.Y. Hilton,IND,offense,2016
TE,Greg Olsen,CAR,offense,2016
QB,Carson Wentz,PHI,offense,2017
QB,Matt Ryan,ATL,offense,2017
RB,Todd Gurley,LAR,offense,2017
RB,Le'Veon Bell,PIT,offense,2017
RB,Alvin Kamara,NO,offense,2017
WR,Antonio Brown,PIT,offense,2017
WR,Deandre Hopkins,HOU,offense,2017
WR,Julio Jones,ATL,offense,2017
WR,Michael Thomas,NO,offense,2017
WR,Adam Thielen,MIN,offense,2017
WR,Keenan Allen,LAC,offense,2017
TE,Zach Ertz,PHI,offense,2017
TE,Hunter Henry,LAC,offense,2017
QB,Drew Brees,NO,offense,2018
RB,Todd Gurley,LAR,offense,2018
RB,Saquon Barkley,NYG,offense,2018
RB,Ezekiel Elliott,DAL,offense,2018
RB,Phillip Lindsay,DEN,offense,2018
RB,Derrick Henry,TEN,offense,2018
WR,Deandre Hopkins,HOU,offense,2018
WR,Michael Thomas,NO,offense,2018
WR,Julio Jones,ATL,offense,2018
WR,Keenan Allen,LAC,offense,2018
TE,Zach Ertz,PHI,offense,2018
QB,Lamar Jackson,BAL,offense,2019
QB,Russell Wilson,SEA,offense,2019
RB,Christian Mccaffrey,CAR,offense,2019
RB,Derrick Henry,TEN,offense,2019
RB,Dalvin Cook,MIN,offense,2019
RB,Nick Chubb,CLE,offense,2019
WR,Michael Thomas,NO,offense,2019
WR,Julio Jones,ATL,offense,2019
WR,Deandre Hopkins,HOU,offense,2019
WR,Keenan Allen,LAC,offense,2019
QB,Josh Allen,BUF,offense,2020
RB,Derrick Henry,TEN,offense,2020
RB,Dalvin Cook,MIN,offense,2020
RB,Alvin Kamara,NO,offense,2020
RB,Nick Chubb,CLE,offense,2020
WR,Stefon Diggs,BUF,offense,2020
WR,Deandre Hopkins,ARI,offense,2020
WR,Justin Jefferson,MIN,offense,2020
WR,D.K. Metcalf,SEA,offense,2020
WR,A.J. Brown,TEN,offense,2020
WR,Calvin Ridley,ATL,offense,2020
WR,Cole Beasley,BUF,offense,2020
TE,T.J. Hockenson,DET,offense,2020
QB,Joe Burrow,CIN,offense,2021
RB,Jonathan Taylor,IND,offense,2021
RB,Nick Chubb,CLE,offense,2021
RB,Joe Mixon,CIN,offense,2021
RB,Antonio Gibson,WAS,offense,2021
RB,Dalvin Cook,MIN,offense,2021
WR,Cooper Kupp,LAR,offense,2021
WR,Ja'Marr Chase,CIN,offense,2021
WR,Justin Jefferson,MIN,offense,2021
TE,Mark Andrews,BAL,offense,2021
QB,Jalen Hurts,PHI,offense,2022
QB,Joe Burrow,CIN,offense,2022
RB,Nick Chubb,CLE,offense,2022
RB,Saquon Barkley,NYG,offense,2022
RB,Derrick Henry,TEN,offense,2022
WR,Justin Jefferson,MIN,offense,2022
WR,Tyreek Hill,MIA,offense,2022
WR,A.J. Brown,PHI,offense,2022
WR,Stefon Diggs,BUF,offense,2022
WR,Ceedee Lamb,DAL,offense,2022
WR,Amon-Ra St. Brown,DET,offense,2022
QB,Lamar Jackson,BAL,offense,2023
QB,Dak Prescott,DAL,offense,2023
QB,Josh Allen,BUF,offense,2023
RB,Kyren Williams,LAR,offense,2023
RB,Raheem Mostert,MIA,offense,2023
RB,Derrick Henry,TEN,offense,2023
WR,Ceedee Lamb,DAL,offense,2023
WR,Tyreek Hill,MIA,offense,2023
WR,Amon-Ra St. Brown,DET,offense,2023
WR,Nico Collins,HOU,offense,2023
WR,A.J. Brown,PHI,offense,2023
WR,Puka Nacua,LAR,offense,2023
WR,D.J. Moore,CHI,offense,2023
TE,T.J. Hockenson,MIN,offense,2023
TE,Sam Laporta,DET,offense,2023
QB,Lamar Jackson,BAL,offense,2024
QB,Jared Goff,DET,offense,2024
QB,Josh Allen,BUF,offense,2024
QB,Joe Burrow,CIN,offense,2024
RB,Saquon Barkley,PHI,offense,2024
RB,Derrick Henry,BAL,offense,2024
RB,Jahmyr Gibbs,DET,offense,2024
WR,Justin Jefferson,MIN,offense,2024
WR,Ja'Marr Chase,CIN,offense,2024
WR,Amon-Ra St. Brown,DET,offense,2024
WR,Brian Thomas,JAX,offense,2024
WR,A.J. Brown,PHI,offense,2024
WR,Nico Collins,HOU,offense,2024
WR,Ceedee Lamb,DAL,offense,2024
WR,Terry Mclaurin,WAS,offense,2024
